,video_id,comments
10,Mff0aUIwYEU,"['Here after finding out about AMV Hell 8...', 'Imagine #8 starts off with tiktok/shorts like crap (sigma music or w/e) and then just cuts out.. to the good shit again.', ""WE'RE BACK, BABY! AMV HELL 8 ON ITS WAY!"", ""Back when AMVs didn't used so many zoomins and zoomouts and slowed verb crap."", 'In response to Love Hina I say this “Bitches: they blame 4 men everything”', 'Thanks, you spoiled me an 15 y/o anime', 'AMV Hell will always remind me of a time when AV clubs got together to watch bootlegged copies of Anime on VHS.  A time before Anime went mainstream, and geeks roamed the school backrooms of Art classes and janitors closets forming bonds of fellowships with fellow nerds.  Thanks Anime Hell for the memories.', 'omg this is amazing', ""34:28 it's Ghostler lol omg"", ""2023 and it's still funny""]"
11,Vp6LKfN9Zdw,"[""for the love of all that's music, can someone tell me the name of the song for number three?!"", '#9 is why people stop watching these...seriously.', 'can some one tell me the song for the one playing at 0:39 - 1:13 [plz and thank you. I really like it]', '1:18\nWhat is this from?', '5 bucks says FOX eventually has this pulled due to number 5.', '#2 blew my damn mind', '7 MUST WIN', 'lmao at #9!', '""""AMV Hell 7"" This video is no longer available due to a copyright claim by Studio Ghibli Inc""\n\nFUCK', '1#']"
12,iaqpsQrzahc,"['So im looking for a list of all the AMV mini challenges. I can find the list for the major AMV hells but i cant find the ones for the minis. Theres alot of good music and interesting looking animes that i want to look into', 'The shitposting was off the charts in this one.', '14 is the real art', '7 & 8 are my favorites', '14 so art much wow', 'Space ghost from coast to coast What a great show ', 'Are these the rejects from the main amv hell vids?', 'What anime is #8', 'Well... this was a mindfuck.', ""having watched Brows Held High's episode on it, I understand 14 now; there is a movie called, what else 'blue' and its 90 mins of a blue screen; BUT, it has a full audio track made up of poetry, monologues, and music: all about blue, but not only the color, but death (the creator had aids) and infinity,(think of the sky/ocean) when you stare at a solid color enough, your mind makes you see things in it too.""]"
13,xxKWOmonHNI,"[""I'm just here for the tunes."", 'Who made that darth Vader remix', 'If 4:54 is drugs I want some now!!', '#2 for sure', 'whats the song on 15', 'The mangaka who made #12.... gets migraine auras x<', '12 all the way', ""what's the name of the anime of the 12th one"", 'What is the name of the song used in 18?', 'what anime is 9?']"
14,6sAOqCP0Wts,"['Since the link now leads to a 404 page, can anyone tell me what anime mini #16 is from?', 'What anime is #2 and 18?', '18 wins beavis and butthead', 'i love nascar woooooooooooooooooooooooooooooo', 'Does anyone know who covered that country version of ""Come Sail Away"" used in 04?', '3 4\xa0', 'YEAH Johnny Cash - Ring of Fire\xa0', 'Number 7 Hands Down theres', ""Takin' a train TAKIN' A TRAINNNNNNNN"", '18!']"
15,YI5hrsIrDC8,"['Source 33 music please', 'im stuck between 1. 4. and 29.', 'I wish someone would do ""Anim80\'s"" Hell.... Nuthin but 80\'s tunes or 80\'s movie references', 'what anime was 23', '26, 33, and 37 what are these PLEASE TELL ME!!!', 'I. Hate. Frozen.', '33 was prettys cools', 'could someone make a list of all the anime in this amv', '33...that song...what is this song I should know it!?', 'whats the song from 6']"
16,zTb9-fSb-vE,"['Honestly the last one won in my opinion. It was a nice dedication.', 'Anybody know the music for video 1? The saxophone music.', 'Anybody know the animes used in video 3?', ""i really like GITS and especially the entry with GITS and a classic like Platters, other than that, didn't really enjoy the others."", ""Kudos for #5 for doing an AMV of the Nostalgia Critic parody of Let It Go...that's like fandom Inception"", 'What was the song on number 7?', ""0:40 That's a furry!"", ""Am I the only one who thinks #7 is a parody of really badly done amvs? Like the kinda shit you see titled as 'KiritoxAsuna Love' and crap like that? Cause that what it comes across as to me."", '1:10 fucking love the song.', 'How is it that not a one of you seem to realize that the pixelated one was probably on purpose? At one point super pixelated, pairing centered AMVs with questionable music choices and \xa0fade effects into rapid scene changes was the DEFINITION of amv fandom.\n\nIt\'s genius, and no one seems to realize it unless it\'s ""Everytime we touch""']"
17,gwSt1An-2ks,"['We miss u', '3:46 I really like 11. Classic 80s at its finest.\r\nIs this really considered 80s if Kill La Kill is on here?', 'Source 13 please', 'Si hubiera sido ahora que se editar habría participado....', '6:50 winner of 80s amv', 'Watching all of these in no particular order is going to throw off the algorithm so bad, and I can’t wait to see what youtube tries to recommend to me after hours of it.', ""does anyone know what the song is on #16? it's bugging me"", ""Huh didn't notice the nipples till now rewatching it at 0:52"", 'OK that Lily CAT/Alien mashup is damn perfect.', 'what anime on 3:02 ?']"
18,RHyVKLohcEE,"[""i miss amv's"", '12 has got me real good 2:55', 'last one', '12', 'Even without censoring #5 has BJ vibes.', 'Anime at 2:25 ?', '4 had me on the floor laughing. It hurts every time I laugh.', 'anyone who thought of something X rated raise your hand :3', '14 was great.', 'The last one.']"
19,p8sYITgtlF4,"['this one was tough for me cause it was really close like one mistake can make a difference my pick is #9', 'Number 1 caught me off guard immediately.', ""what's the song at #26"", ""what's the song from #2?"", 'I wish AMVhell site actually had credits for the minis like it does or the main AMVhells. I wnat to know what anime #1 is.', 'Danny Sexbang the physical embodyment of love.', '20? Just Anime Title.', 'Video 25, which one was that?', ""what's number 4 and 19?"", 'no.9 cracked me up']"
20,Ez5PyM6cSyU,"['Before TikTok... there was this.', ""My personal favorite is 13. It's pretty well synced and the audio gave me a good giggle."", '#2 wins every time', '#7 cracked me up!', 'omfg I still love the first one... absolutely brilliant.', 'what animes were 11 and 7 and 17??\xa0', 'Jem made it.... #7 background her face is in a picture frame', '0:17 FUCK!', 'What anime was used for number 1', 'what is the anime in #5,\xa0#7 and #15?']"
21,-il4y11qY7I,"['13 - Where are Shinji and Asuka?', ""I feel like they didn't going far enough"", '#4 is now not funny because Matt and Pat are no longer friends. 😞', 'Number 10 got me laughing the most!', ""I know it said 'not funny' but.. I found a great deal of them to be funny."", '#11 Legend of Black Heaven - that takes me back', 'more', 'this has a surprising lack of nina tucker...', ""Video 01\nurahara1001\nKatawa Shoujo\nNancy Sinatra - These Boots are Made for Walkin'\xa0\n\nVideo 02\nN.P.C.C.\nNoein and American Dad\nAmerican Dad - Audio Clip\xa0\n\nVideo 03\nSilentChaz\nBarefoot Gen 2\nForeverPandering - Hanako.mp3\xa0\n\nVideo 04\nSir Loin of Beef\nRonin Warriors\nTwo Best Friends Play Punchout - Audio clip\xa0\n\nVideo 05\nadeptdemon\nHellsing Ultimate\nscmoyoho - bed intruder song\xa0\n\nVideo 06\nMaskingTapeRoll\nBerserk: Golden Age Chapter III\nDaniel Tosh - rape\n\nVideo 07\nThatsNotMyStudio_name\nElfen Lied\nTMBG - Turn Around / Austin Owers:IMM sound clip\n\nVideo 08\nadzman\nFullmetal Alchemist\nP.A.N.I.C.S. sound clip\xa0\n\nVideo 09\nSuperLoliSentai\nBerserk: Golden Age Arc 3\nJon & Al - Batman and Robin: The Musical\xa0\n\nVideo 10\nKurohei\nElfen Lied\nEd, Edd n Eddy sound clip\n\nVideo 11\nArcane God\nBlack Heaven\nFlo Rida - Right Round\xa0\n\nVideo 12\nCetuS\nAngel Cop\nPulp Fiction sound clip\xa0\n\nVideo 13\nLawRayLiet\nWataMote, Oreimo, Fate/Stay night\nDel The Funky Homosapien - Money For Sex\xa0\n\nVideo 14\nFrustratedRocka\nWolf's Rain\nThe Frantics - I Shot Bambi's Mother\xa0\n\nVideo 15\nStormWolf\nFullmetal Alchemist Brotherhood\nTomSka - asdfmovie: deleted scenes\xa0\n\nVideo 16\nShuiia\nGhost in the Shell Stand Alone Complex Individual Eleven\nAngelspit - Vermin\xa0\n\nVideo 17\nQ\nFullmetal Alchemist: Brotherhood\nRay Anthony - Hokey Pokey"", ""Can't help but think that 8 has something to do with RoosterTeeth. \xa0I'd recognize Gus anywhere.""]"
22,kXsFw6INSts,"[""seven in and I gather that the people who made these didn't know what beatboxing was."", 'Ok, so who keeps posting jem? And why?', ""Video 01\nPrinnyCat\nNeedless\nPentatonix - Daft Punk\xa0\n\nVideo 02\nSOS13\nHellsing\nSmooth McGroove - Bloody Tears\xa0\n\nVideo 03\nN.P.C.C.\n009-1 & Jem\nJem and the Holograms - Jazz Has\xa0\n\nVideo 04\nSilentChaz\nFrom Up on Poppy Hill\nGröûp X - Mario Twins\xa0\n\nVideo 05\nSir Fluffykins\nThe Melancholy of Haruhi Suzumiya\nSmooth McGroove - Phoenix Wright - Cornered Acapella\xa0\n\nVideo 06\nSir Loin of Beef\nKill la Kill\nSouth Park - Wiener Song\xa0\n\nVideo 07\nadzman\nThe Vision of Escaflowne\nThe Blanks - The Blanks do Katy Perry, Cee Lo Green, etc\n\nVideo 08\nSuperLoliSentai\nBerserk Manga Scans\nSmooth McGroove - Street Fighter 2 - Guile Theme Acapella / Smooth McGroove - Final Fantasy VII - Victory Fanfare Acapella\xa0\n\nVideo 09\nurahara1001\nExcel Saga\nThe Muppets - Mahna Mahna\xa0\n\nVideo 10\nCaboose\nGreen Green\nSmooth McGroove - Saria's Song (Lost Woods) Acapella - Zelda Ocarina of Time\xa0\n\nVideo 11\nMarbilSWE\nWatashi ga Motenai no wa dō Kangaetemo Omaera ga Warui!\nScrubs audio clip - Facts of life\xa0\n\nVideo 12\nApocrypha\nSuper Mario Issun-bōshi\nHIKAKIN - Super Mario Beatbox"", 'Every last bit of that was fucking magical.XD', 'The final fantasy tactics death screams tho XD', 'First song is harder better faster stronger by pentatonix', 'Mrroyden 2nd anime is hellsi.g', 'And only 1 was actual beatboxing.', 'whats the song at 0:13', ""Should've called it A Capella. \xa0""]"
23,exaPhqJz3KQ,"[""so was the 'theme' of this one 'shitty unlistenable pop songs'?"", '17 PLEASE TELL ME WHAT THAT IS', 'I wish the radioactive music video looked like Pacific rim', 'AHHH THATS SO NOT OKAY 😖😭 I mean I kinda had a feeling about Reiner but damnit', ""Video 01\nNSMike\nAttack on Titan\nNinja Sex Party - Rhinoceratops vs. Superpuma\xa0\n\nVideo 02\nSilentChaz\nWataMote\nMattroks101 - Katawa Shoujo Review sound clip\xa0\n\nVideo 03\nSir Fluffykins\nInfinite Stratos 2\nTegan and Sara - Closer\xa0\n\nVideo 04\nSir Loin of Beef\nJoJo's Bizarre Adventure\nRob Ford News Clip\n\nVideo 05\nOghma\nKill La Kill\nMiley Cyrus - Wrecking Ball\xa0\n\nVideo 06\nLawRayLiet\nDragon Ball Z: Battle of Gods\nWill.I.Am Feat. Justin Bieber - That Power\xa0\n\nVideo 07\nEarl of Bassington\nBlood Lad\nDethklok - Metalocalypse: The Doomstar Requiem\xa0\n\nVideo 08\nFrustratedRocka\nSuisei no Gargantia\nPacific Rim - Main Trailer\n\nVideo 09\nOtaku_Ichigo\nKill La Kill\nEminem ft. Skylar Grey - Survival\n\nVideo 10\nhumnut\nPretty Rhythm Rainbow Live, NouCome\nLady Gaga - Applause\xa0\n\nVideo 11\nChewi105\nAttack on Titan\nMiley Cyrus - Wrecking Ball\xa0\n\nVideo 12\nSOS13\nKill la Kill\nMetal Gear Rising: Reveangence - Rules of Nature\n\nVideo 13\nredgriffin22\nginga kikoutai majestic prince\nPacific Rim - Main Theme\xa0\n\nVideo 14\nN.P.C.C.\nPokemon Origins and Red/Fire Red\nRukunetsu, Skyblew, and Sublime Cloud - HM02\xa0\n\nVideo 15\nBonehimer\nDragon Ball Z: Battle of Gods\nEminem - Rap God\xa0\n\nVideo 16\nRobert Frazer\nBlood Lad\nPacific Rim - Main Theme\xa0\n\nVideo 17\nShuiia\nMobile Suit Gundam Unicorn\nFreQuency - Sunrise\xa0\n\nVideo 18\nThatMakesMyEyesBleed_studio\nWatamote\nRobin Thicke - Blurred Lines\xa0\n\nVideo 19\nDXM\nPacific Rim\nImagine Dragons - Radioactive\xa0\n\nVideo 20\nSuperLoliSentai\nAttack on Titan\nMiley Cyrus - Wrecking Ball\xa0"", 'I feel like no game no life would have been a great addition to this AMV selection. :D', 'What is the anime in #13 called? It looks interesting...', 'in 16 the manga he is reading is DRA-gumboll is it suposed to be a play on dragon ball?', 'I got dat power XD', 'So much truth in number 10.']"
24,kuxruTzh_2s,"['I counted 10 Santa’s', ""I can't find Santa in 2"", 'Ugh, I hate what I have to google to find thread with this Mini!', '8', 'DSXtreme09\xa0 Watch 0:33 LOl', 'Whoo hoo BIG TITS! Lost my shit. XD', ""Video 01\nSuperLoliSentai\nTengen Toppa Gurren Lagann\nEpic Rap Battles of History - Batman vs Sherlock Holmes\xa0\n\nVideo 02\nSir Fluffykins\nPuella Magi Madoka Magica\nEasy A Sound Clip\xa0\n\nVideo 03\nSir Loin of Beef\nKill la Kill\nBuzz****s - Boredom\xa0\n\nVideo 04\nMoon Spirit\nJormugand\nasdfmovie 6 sound clip\xa0\n\nVideo 05\nMarbilSWE\nAttack on Titans\nCascada - Santa Claus is coming to town\xa0\n\nVideo 06\nlilstow\nBaccano\nOzzy Osbourne - Crazy Train\xa0\n\nVideo 07\nadzman\nKokoro Connect\nSealab 2021 sound clip\xa0\n\nVideo 08\nurahara1001\nDragon Ball Z\nDethklok Metalocalypse - Dethklok Secret Santas\xa0\n\nVideo 09\nDH1900\nEnd of Evangelion\nElectric Light Orchestra - Hold On Tight\xa0\n\nVideo 10\nThatsNotMyName_studio\nDeath Note\nChipmunks - Chipmunk Christmas\xa0\n\nVideo 11\nChewi105\nSword Art Online\nTurbonegro - All My Friends Are Dead\xa0\n\nVideo 12\nhumnut\nSpeed Grapher\nOmnipony - It's Just mah Bass Cannon (Extended Mix)\xa0\n\nVideo 13\nThe Real Inferno\nDeath Note, Taimanin Asagi\nThe Spoony One - Wrestle Wrestle sound clip\xa0\n\nVideo 14\nrathemighty\nOne Piece\nWeird Al Yankovic - Polka Power\xa0\n\nVideo 15\nN.P.C.C.\nJem & Rosario + Vampire\nJem and The Holograms - Come On In The Water's Fine (Big Splash Radio Mix)\xa0\n\nVideo 16\nFrustratedRocka\nKill La Kill\nSaturday Night Live - The Ambiguously Gay Duo\xa0\n\nVideo 17\nHaar\nJin-Roh: The Wolf Brigade\nBaha Men - Who Let the Dogs Out?\xa0\n\nVideo 18\nSilentChaz\nSchool Days\nMariah Carey - All I Want for Christmas Is You\xa0"", 'ha nice boat', 'what is the anime at #7', 'Holy shit 12.']"
